STATEFP,COUNTYFP,TRACTCE,geocode,NAME.x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,NAME.y,total_pop,total_HU,total_vacant,med_HH_Income,workfulltime_ins,HH_SSIncome,B17006_006E,disabled_belpov,disabled_nopov,HH_oneworker,HH_oneearner,B10010_003E,child_disabled_publicins,child_disabled_privateins,B27003_001E,B27002_001E,totalpop_35_64,empins_35_64,indins_35_64,medicare_35_64,medicaid_35_64,tricare_35_64,VAins35_64,blackpop,whitepop,poverty,childpop,povertychild,internetaccess,HHwithchildSNAP,ownernovehicle,renternovehicle,racehispanic,PCTdisabled_belpov,PCTdisabled_nopov,PCTHH_oneworker,PCTHH_oneearner,PCT_RecSSI,PCTchild_disabled_publicins,PCTchild_disabled_privateins,PCTPrivate35_64,PCTPublic35_64,PCTblack,PCTwhite,PCTpov,PCTchildpov,PCTvacant,PCTinternetaccess,PCTfamiliesSNAP,PCTnovehicle,PCThispanic,geometry
42,101,039100,42101039100,391,Census Tract 391,G5020,S,1119799,133239,39.933272,-75.2132103,"Census Tract 391, Philadelphia County, Pennsylvania",3536,1161,34,30077,653,223,0,375,240,530,537,NA,942,365,3536,3536,828,264,0,0,316,0,0,3437,17,1879,1323,829,730,1088,57,657,85,0.106052036,0.067873303,0.149886878,0.151866516,0.192075797,0.266402715,0.103223982,0.31884058,0.381642512,0.972002262,0.004807692,0.531391403,0.626606198,0.029285099,0.628768303,0.93712317,0.61498708,0.024038462,"MULTIPOLYGON (((-75.22235 39.93105, -75.22129 39.93179, -75.22123 39.93183, -75.22083 39.93211, -75.22058 39.93228, -75.22032 39.93246, -75.21956 39.93299, -75.21931 39.93317, -75.2188 39.93352, -75.21855 39.9337, -75.21829 39.93387, -75.21728 39.93458, -75.21706 39.93473, -75.21568 39.93569, -75.2143 39.93665, -75.21424 39.9367, -75.21373 39.93705, -75.21336 39.93731, -75.21315 39.93746, -75.21297 39.93758, -75.21272 39.93776, -75.21194 39.9383, -75.2117 39.93847, -75.2112 39.93882, -75.21094 39.93899, -75.21065 39.9392, -75.21027 39.93946, -75.2102 39.93952, -75.20942 39.94006, -75.20935 39.94011, -75.20917 39.94024, -75.20893 39.94042, -75.20868 39.9406, -75.20845 39.94079, -75.20821 39.94098, -75.20784 39.94129, -75.2071 39.94128, -75.20686 39.94126, -75.20608 39.9412, -75.20588 39.94118, -75.20529 39.94113, -75.20519 39.94112, -75.20526 39.94067, -75.20527 39.9406, -75.20528 39.94045, -75.20543 39.93877, -75.20547 39.93836, -75.20558 39.93711, -75.20564 39.93688, -75.20604 39.93548, -75.20607 39.93537, -75.2061 39.93528, -75.20617 39.93507, -75.2062 39.93497, -75.20632 39.93476, -75.20655 39.93444, -75.20684 39.93409, -75.20743 39.93351, -75.20748 39.93352, -75.20871 39.93153, -75.21125 39.92852, -75.2113 39.9284, -75.21243 39.92523, -75.21331 39.92554, -75.21341 39.92558, -75.21481 39.92617, -75.21492 39.92621, -75.21674 39.92694, -75.21677 39.92696, -75.21767 39.92734, -75.21931 39.92801, -75.21943 39.92808, -75.21949 39.92812, -75.22055 39.929, -75.22059 39.92905, -75.2211 39.92947, -75.22151 39.92983, -75.222 39.93023, -75.2227 39.93081, -75.22235 39.93105)))"
42,101,980902,42101980902,9809.02,Census Tract 9809.02,G5020,S,132548,50536,39.9346276,-75.2046321,"Census Tract 9809.02, Philadelphia County, Pennsylvania",0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MULTIPOLYGON (((-75.20684 39.93409, -75.20655 39.93444, -75.20632 39.93476, -75.2062 39.93497, -75.20617 39.93507, -75.2061 39.93528, -75.20607 39.93537, -75.20604 39.93548, -75.20564 39.93688, -75.20558 39.93711, -75.20547 39.93836, -75.20446 39.93815, -75.20388 39.93803, -75.2033 39.93791, -75.20215 39.93766, -75.20164 39.93756, -75.20127 39.93747, -75.20114 39.93747, -75.20035 39.93814, -75.20019 39.93854, -75.19961 39.93842, -75.19934 39.93837, -75.19981 39.93786, -75.20044 39.93736, -75.20082 39.93701, -75.20124 39.93649, -75.20305 39.93496, -75.20422 39.93285, -75.20465 39.933, -75.20495 39.93301, -75.2066 39.93333, -75.20743 39.93351, -75.20684 39.93409)))"
42,101,980904,42101980904,9809.04,Census Tract 9809.04,G5020,S,1570844,158459,39.92473,-75.203671,"Census Tract 9809.04, Philadelphia County, Pennsylvania",0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MULTIPOLYGON (((-75.21243 39.92523, -75.2113 39.9284, -75.21125 39.92852, -75.20871 39.93153, -75.20748 39.93352, -75.20743 39.93351, -75.2066 39.93333, -75.20495 39.93301, -75.20465 39.933, -75.20422 39.93285, -75.2039 39.93285, -75.20239 39.9325, -75.20048 39.9321, -75.20038 39.93209, -75.20001 39.932, -75.19983 39.93196, -75.19965 39.93191, -75.19959 39.93181, -75.19898 39.93117, -75.19839 39.93054, -75.19817 39.93029, -75.19785 39.92999, -75.19758 39.92974, -75.19751 39.92967, -75.19724 39.92942, -75.19722 39.92941, -75.19692 39.92916, -75.19648 39.92874, -75.19589 39.92815, -75.19579 39.92806, -75.19544 39.92768, -75.19513 39.92736, -75.19462 39.92681, -75.19449 39.92667, -75.19444 39.92661, -75.19438 39.92654, -75.19409 39.92623, -75.19366 39.92579, -75.19353 39.92565, -75.19301 39.92509, -75.1931 39.92497, -75.19328 39.92486, -75.19343 39.92484, -75.19316 39.92459, -75.1932 39.92414, -75.19325 39.9239, -75.19327 39.92382, -75.19334 39.92354, -75.19347 39.923, -75.19361 39.92234, -75.19416 39.9224, -75.19443 39.92243, -75.19467 39.92242, -75.19475 39.92236, -75.19477 39.9223, -75.19479 39.92224, -75.19481 39.92207, -75.19486 39.92181, -75.19504 39.92101, -75.19553 39.92092, -75.19909 39.92031, -75.20006 39.92014, -75.20055 39.92005, -75.20107 39.91995, -75.2017 39.91983, -75.2034 39.92101, -75.20853 39.92103, -75.21079 39.92209, -75.21206 39.92356, -75.21243 39.92523)))"
42,101,980903,42101980903,9809.03,Census Tract 9809.03,G5020,S,171154,0,39.9347932,-75.2009884,"Census Tract 9809.03, Philadelphia County, Pennsylvania",0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MULTIPOLYGON (((-75.20422 39.93285, -75.20305 39.93496, -75.20124 39.93649, -75.20082 39.93701, -75.20044 39.93736, -75.19981 39.93786, -75.19934 39.93837, -75.1992 39.93832, -75.19873 39.93822, -75.19865 39.9382, -75.19858 39.93819, -75.19819 39.93812, -75.19802 39.93809, -75.19792 39.93806, -75.19832 39.93765, -75.19847 39.93741, -75.1988 39.93703, -75.19882 39.93701, -75.19882 39.937, -75.19885 39.93696, -75.19888 39.93691, -75.19893 39.93684, -75.19894 39.93681, -75.199 39.93669, -75.19905 39.93656, -75.19926 39.93571, -75.1995 39.93451, -75.19951 39.93442, -75.19962 39.9338, -75.19973 39.93327, -75.19982 39.93292, -75.19983 39.93287, -75.19985 39.93266, -75.19984 39.93245, -75.19981 39.9323, -75.19977 39.93216, -75.19976 39.93212, -75.19971 39.93204, -75.19968 39.93196, -75.19965 39.93191, -75.19983 39.93196, -75.20001 39.932, -75.20038 39.93209, -75.20048 39.9321, -75.20239 39.9325, -75.2039 39.93285, -75.20422 39.93285)))"
42,101,980906,42101980906,9809.06,Census Tract 9809.06,G5020,S,2945390,383112,39.9095823,-75.1984052,"Census Tract 9809.06, Philadelphia County, Pennsylvania",0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MULTIPOLYGON (((-75.21612 39.90964, -75.21454 39.91066, -75.21391 39.91107, -75.21215 39.91115, -75.20684 39.91119, -75.20638 39.91177, -75.20572 39.91272, -75.2055 39.91304, -75.20447 39.91457, -75.20434 39.91477, -75.20415 39.91507, -75.20209 39.91855, -75.2017 39.91983, -75.20107 39.91995, -75.20055 39.92005, -75.20006 39.92014, -75.19909 39.92031, -75.19553 39.92092, -75.19504 39.92101, -75.19448 39.92108, -75.19386 39.92113, -75.19268 39.92125, -75.19249 39.92127, -75.19182 39.92139, -75.19122 39.9215, -75.19105 39.92153, -75.19082 39.92158, -75.1906 39.92163, -75.19048 39.92165, -75.19039 39.92166, -75.19037 39.92167, -75.19032 39.92168, -75.19027 39.92168, -75.19016 39.9217, -75.19006 39.92172, -75.18965 39.92181, -75.18951 39.9215, -75.18944 39.92124, -75.18941 39.92107, -75.18942 39.92101, -75.18943 39.92082, -75.18945 39.92057, -75.1903 39.91644, -75.19025 39.91596, -75.19022 39.91588, -75.19024 39.91578, -75.19025 39.91573, -75.19029 39.91559, -75.19056 39.91433, -75.1907 39.91366, -75.19079 39.91328, -75.19085 39.913, -75.19114 39.91169, -75.19222 39.90673, -75.19223 39.90668, -75.19228 39.90643, -75.1937 39.90577, -75.19379 39.90573, -75.19399 39.90563, -75.1947 39.90528, -75.19604 39.90468, -75.19659 39.90446, -75.19753 39.90409, -75.19812 39.90388, -75.20044 39.90282, -75.20089 39.90262, -75.20097 39.90258, -75.20876 39.8991, -75.21046 39.89834, -75.21062 39.89826, -75.2113 39.89796, -75.21176 39.89775, -75.21181 39.8978, -75.21493 39.90162, -75.21612 39.90964)))"
42,101,980905,42101980905,9809.05,Census Tract 9809.05,G5020,S,884500,195611,39.8986271,-75.2012542,"Census Tract 9809.05, Philadelphia County, Pennsylvania",0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MULTIPOLYGON (((-75.2113 39.89796, -75.21062 39.89826, -75.21046 39.89834, -75.20876 39.8991, -75.20097 39.90258, -75.20089 39.90262, -75.20044 39.90282, -75.19812 39.90388, -75.19753 39.90409, -75.19659 39.90446, -75.19604 39.90468, -75.1947 39.90528, -75.19399 39.90563, -75.19385 39.90507, -75.19379 39.90494, -75.19377 39.90487, -75.19376 39.90486, -75.19352 39.90407, -75.19347 39.90343, -75.1936 39.90267, -75.19361 39.90263, -75.19362 39.90256, -75.19363 39.90253, -75.19364 39.90249, -75.19364 39.90246, -75.19365 39.90242, -75.19365 39.90239, -75.19454 39.9025, -75.19669 39.90086, -75.19692 39.90088, -75.19594 39.89993, -75.19542 39.89903, -75.19558 39.89794, -75.19624 39.89337, -75.19617 39.89311, -75.19588 39.8929, -75.19534 39.89243, -75.19551 39.89184, -75.19726 39.89262, -75.19734 39.89265, -75.19874 39.89311, -75.2058 39.89493, -75.20812 39.89567, -75.21176 39.89775, -75.2113 39.89796)))"
42,101,036700,42101036700,367,Census Tract 367,G5020,S,729908,0,39.9611378,-75.1438094,"Census Tract 367, Philadelphia County, Pennsylvania",3405,1576,206,150952,2210,11,0,42,129,619,99,NA,0,456,3405,3405,1237,1013,167,0,42,0,0,244,2614,254,449,0,1483,0,18,182,195,0.012334802,0.037885463,0.181791483,0.02907489,0.006979695,0,0.133920705,0.953920776,0.033953112,0.071659325,0.767694567,0.074596182,0,0.13071066,0.940989848,0,0.126903553,0.057268722,"MULTIPOLYGON (((-75.14886 39.95774, -75.14885 39.9578, -75.14882 39.95802, -75.14872 39.9585, -75.14853 39.95956, -75.14821 39.96128, -75.14818 39.96142, -75.14812 39.96175, -75.14803 39.96227, -75.14779 39.96347, -75.1478 39.96353, -75.14781 39.96358, -75.14764 39.96451, -75.1476 39.96472, -75.14741 39.96572, -75.14738 39.96588, -75.14733 39.96618, -75.14728 39.96642, -75.14715 39.96713, -75.14666 39.96691, -75.1465 39.96684, -75.14606 39.96663, -75.14589 39.96655, -75.14576 39.96649, -75.1449 39.9661, -75.14459 39.96594, -75.144 39.96567, -75.14338 39.96538, -75.14253 39.96498, -75.14163 39.96457, -75.14071 39.96414, -75.13993 39.96378, -75.13975 39.96369, -75.13934 39.9635, -75.13924 39.96343, -75.13911 39.96333, -75.13883 39.96313, -75.13843 39.96308, -75.13808 39.96294, -75.13827 39.96232, -75.13845 39.96176, -75.13859 39.96129, -75.13886 39.96043, -75.1389 39.9603, -75.13922 39.95927, -75.13971 39.95771, -75.13995 39.95693, -75.14038 39.95698, -75.14073 39.95703, -75.141 39.95706, -75.14141 39.95712, -75.14142 39.95706, -75.14145 39.95683, -75.14147 39.95674, -75.14157 39.95594, -75.14158 39.95588, -75.14159 39.95575, -75.14171 39.95587, -75.14191 39.95603, -75.14218 39.95618, -75.14237 39.95627, -75.14244 39.95631, -75.14283 39.95644, -75.1432 39.95654, -75.14426 39.95678, -75.14445 39.95684, -75.14462 39.95691, -75.14506 39.957, -75.14579 39.95713, -75.14601 39.95717, -75.14719 39.95739, -75.14727 39.9574, -75.14738 39.95742, -75.14745 39.95744, -75.14764 39.9575, -75.14799 39.95756, -75.14808 39.95758, -75.14854 39.95764, -75.14878 39.95766, -75.14888 39.95766, -75.14886 39.95774)))"
42,101,034702,42101034702,347.02,Census Tract 347.02,G5020,S,1032346,0,40.0569545,-75.0282679,"Census Tract 347.02, Philadelphia County, Pennsylvania",3551,1386,34,93397,1348,44,70,34,203,486,292,NA,266,436,3551,3551,1332,1002,68,3,154,0,0,299,2765,251,648,121,1337,152,30,43,300,0.009574768,0.057166995,0.136862856,0.082230358,0.031746032,0.074908476,0.122782315,0.803303303,0.117867868,0.084201633,0.7786539,0.070684314,0.186728395,0.024531025,0.964646465,0.10966811,0.052669553,0.084483244,"MULTIPOLYGON (((-75.03647 40.05396, -75.03637 40.05446, -75.03592 40.05555, -75.03506 40.05733, -75.03495 40.05728, -75.03433 40.05707, -75.03395 40.05695, -75.03373 40.05688, -75.03348 40.05683, -75.03317 40.05677, -75.03293 40.05673, -75.03278 40.05672, -75.03109 40.05657, -75.02903 40.0564, -75.02905 40.05648, -75.02904 40.05656, -75.02902 40.05662, -75.02897 40.05667, -75.0289 40.05671, -75.02883 40.05675, -75.02876 40.05678, -75.02887 40.05713, -75.029 40.05752, -75.02901 40.05774, -75.029 40.05779, -75.02815 40.05933, -75.0281 40.05945, -75.02804 40.0596, -75.028 40.05974, -75.02798 40.05986, -75.02797 40.05995, -75.02796 40.0601, -75.02796 40.06021, -75.02802 40.06072, -75.02824 40.06336, -75.02836 40.0645, -75.02838 40.06491, -75.02854 40.06655, -75.02854 40.06672, -75.02851 40.06684, -75.02847 40.06698, -75.02826 40.06731, -75.0274 40.06681, -75.02587 40.06591, -75.02543 40.06565, -75.02533 40.06559, -75.02423 40.06493, -75.02266 40.064, -75.02256 40.06393, -75.02239 40.06377, -75.02233 40.06368, -75.02225 40.06358, -75.02222 40.06352, -75.02171 40.06339, -75.02184 40.06326, -75.02199 40.06311, -75.02208 40.06301, -75.02249 40.06261, -75.02276 40.06233, -75.02375 40.06136, -75.02418 40.06093, -75.02466 40.06044, -75.02482 40.06029, -75.02481 40.06014, -75.02475 40.05856, -75.02473 40.05803, -75.02473 40.05782, -75.02474 40.05754, -75.0247 40.05728, -75.0246 40.05703, -75.02449 40.05678, -75.02438 40.05652, -75.02434 40.05644, -75.02427 40.05628, -75.02411 40.05604, -75.02392 40.05582, -75.02372 40.05561, -75.02362 40.05553, -75.02349 40.05541, -75.02337 40.05533, -75.02425 40.05399, -75.02293 40.05326, -75.02333 40.05263, -75.02293 40.05246, -75.02273 40.05239, -75.02345 40.05162, -75.02376 40.05127, -75.02418 40.05104, -75.02474 40.05083, -75.02499 40.05073, -75.02534 40.05065, -75.02576 40.05061, -75.02613 40.05062, -75.02651 40.05066, -75.02675 40.05078, -75.02798 40.05103, -75.02919 40.05128, -75.02951 40.05133, -75.02976 40.05136, -75.02998 40.05138, -75.03021 40.05138, -75.03042 40.05137, -75.03077 40.05134, -75.03094 40.05134, -75.03114 40.05136, -75.03131 40.05141, -75.03144 40.05145, -75.03155 40.05151, -75.03169 40.05161, -75.03184 40.05176, -75.03194 40.0519, -75.03199 40.05202, -75.03216 40.05239, -75.03222 40.0525, -75.03228 40.05255, -75.03235 40.05259, -75.03245 40.05261, -75.03255 40.05262, -75.03262 40.05261, -75.03275 40.05257, -75.03296 40.0525, -75.03322 40.05239, -75.03346 40.05228, -75.03369 40.05214, -75.03393 40.05199, -75.03412 40.05183, -75.03428 40.05169, -75.03442 40.05154, -75.03459 40.0514, -75.03478 40.05129, -75.03501 40.05123, -75.03525 40.05122, -75.0355 40.05126, -75.03566 40.0513, -75.03586 40.05143, -75.03595 40.05151, -75.03602 40.0516, -75.03607 40.0517, -75.0361 40.05182, -75.03612 40.05195, -75.0361 40.05206, -75.03606 40.05217, -75.03589 40.05245, -75.03586 40.05258, -75.03587 40.05272, -75.0359 40.05281, -75.03596 40.05292, -75.03603 40.053, -75.03613 40.05312, -75.0362 40.05324, -75.03628 40.05341, -75.03633 40.05355, -75.03636 40.0537, -75.03636 40.05376, -75.03646 40.05385, -75.03647 40.05396)))"
42,101,034801,42101034801,348.01,Census Tract 348.01,G5020,S,1385962,5188,40.0532771,-75.0158917,"Census Tract 348.01, Philadelphia County, Pennsylvania",4811,2106,10,65357,1783,174,0,18,214,758,431,NA,211,554,4799,4799,2172,1499,56,44,227,0,95,283,4203,460,713,37,1818,106,84,52,331,0.003741426,0.044481397,0.157555602,0.089586365,0.082621083,0.043857826,0.115152775,0.715930018,0.168508287,0.058823529,0.873622947,0.095614217,0.051893408,0.004748338,0.863247863,0.050332384,0.064577398,0.068800665,"MULTIPOLYGON (((-75.02482 40.06029, -75.02466 40.06044, -75.02418 40.06093, -75.02375 40.06136, -75.02276 40.06233, -75.02249 40.06261, -75.02208 40.06301, -75.02199 40.06311, -75.02147 40.06211, -75.0214 40.06199, -75.02131 40.06184, -75.02119 40.06169, -75.02105 40.06157, -75.02073 40.06135, -75.02062 40.06128, -75.02057 40.06125, -75.01981 40.06078, -75.01839 40.05993, -75.01764 40.05947, -75.01708 40.0591, -75.01583 40.05832, -75.01444 40.05742, -75.01417 40.05724, -75.01337 40.05672, -75.01314 40.05663, -75.01283 40.0564, -75.01259 40.0564, -75.01196 40.05651, -75.01171 40.05656, -75.01148 40.05661, -75.01139 40.05663, -75.01124 40.05667, -75.01068 40.05686, -75.01022 40.05705, -75.00975 40.05728, -75.009 40.05763, -75.00864 40.05777, -75.00856 40.05781, -75.00849 40.05782, -75.00843 40.05782, -75.00836 40.05782, -75.00825 40.0578, -75.00781 40.05741, -75.0048 40.05475, -75.00616 40.05371, -75.00789 40.05238, -75.00796 40.05232, -75.00822 40.05211, -75.00844 40.05194, -75.00904 40.05147, -75.01015 40.05061, -75.01154 40.04949, -75.01227 40.04888, -75.01322 40.04812, -75.01402 40.04747, -75.01485 40.04684, -75.01571 40.04618, -75.01638 40.04567, -75.01742 40.04489, -75.01747 40.04485, -75.01844 40.04412, -75.0185 40.04408, -75.01904 40.04475, -75.01896 40.0458, -75.01896 40.04591, -75.01941 40.04647, -75.01924 40.0466, -75.01874 40.04697, -75.01801 40.04752, -75.01777 40.04771, -75.01756 40.04792, -75.01737 40.04814, -75.01721 40.04837, -75.01708 40.04861, -75.01696 40.04886, -75.01695 40.04889, -75.01687 40.04911, -75.01683 40.04937, -75.01682 40.04963, -75.01681 40.0499, -75.01681 40.04992, -75.01682 40.05016, -75.01686 40.05043, -75.01691 40.05069, -75.01698 40.05094, -75.01708 40.0512, -75.0172 40.05145, -75.0173 40.05159, -75.01736 40.05168, -75.01754 40.05187, -75.01756 40.05189, -75.01776 40.0521, -75.01796 40.05232, -75.01813 40.05246, -75.0182 40.05251, -75.01876 40.05281, -75.01887 40.05288, -75.01903 40.05297, -75.01931 40.05312, -75.01952 40.05324, -75.01986 40.05343, -75.02014 40.05359, -75.02042 40.05374, -75.02069 40.05388, -75.02127 40.05418, -75.02184 40.05448, -75.02212 40.05463, -75.0224 40.05478, -75.02268 40.05493, -75.02296 40.05508, -75.02299 40.0551, -75.02304 40.05513, -75.02323 40.05524, -75.02337 40.05533, -75.02349 40.05541, -75.02362 40.05553, -75.02372 40.05561, -75.02392 40.05582, -75.02411 40.05604, -75.02427 40.05628, -75.02434 40.05644, -75.02438 40.05652, -75.02449 40.05678, -75.0246 40.05703, -75.0247 40.05728, -75.02474 40.05754, -75.02473 40.05782, -75.02473 40.05803, -75.02475 40.05856, -75.02481 40.06014, -75.02482 40.06029)))"
42,101,034802,42101034802,348.02,Census Tract 348.02,G5020,S,1232182,8015,40.0687145,-75.00973,"Census Tract 348.02, Philadelphia County, Pennsylvania",5675,2309,184,52519,1543,88,0,48,372,1015,465,NA,948,989,5675,5675,2240,1265,286,37,276,15,0,1308,3684,793,1807,425,2046,754,51,337,625,0.00845815,0.065550661,0.178854626,0.081938326,0.038111737,0.167048458,0.174273128,0.699107143,0.139732143,0.230484581,0.649162996,0.139735683,0.235196458,0.079688177,0.886097878,0.326548289,0.168038112,0.110132159,"MULTIPOLYGON (((-75.02184 40.06326, -75.02171 40.06339, -75.02055 40.06455, -75.02026 40.06485, -75.01953 40.06558, -75.01947 40.06565, -75.01872 40.06641, -75.01674 40.06842, -75.01614 40.06901, -75.01605 40.06909, -75.01313 40.07207, -75.01135 40.07119, -75.01131 40.07117, -75.01056 40.0708, -75.00727 40.06916, -75.00753 40.06902, -75.00771 40.06891, -75.00803 40.06867, -75.00813 40.06858, -75.00827 40.06841, -75.00841 40.06823, -75.00856 40.06798, -75.00868 40.06769, -75.00879 40.06735, -75.00901 40.06685, -75.00917 40.06638, -75.00926 40.06608, -75.00933 40.06581, -75.0094 40.06526, -75.00938 40.06491, -75.00941 40.06349, -75.00941 40.06255, -75.00941 40.06208, -75.00942 40.06137, -75.0094 40.06092, -75.00934 40.06052, -75.00915 40.05982, -75.00887 40.05865, -75.0088 40.0584, -75.00866 40.05827, -75.00862 40.05822, -75.00857 40.05816, -75.00835 40.05794, -75.00827 40.05786, -75.00825 40.0578, -75.00836 40.05782, -75.00843 40.05782, -75.00849 40.05782, -75.00856 40.05781, -75.00864 40.05777, -75.009 40.05763, -75.00975 40.05728, -75.01022 40.05705, -75.01068 40.05686, -75.01124 40.05667, -75.01139 40.05663, -75.01148 40.05661, -75.01171 40.05656, -75.01196 40.05651, -75.01259 40.0564, -75.01283 40.0564, -75.01314 40.05663, -75.01337 40.05672, -75.01417 40.05724, -75.01444 40.05742, -75.01583 40.05832, -75.01708 40.0591, -75.01764 40.05947, -75.01839 40.05993, -75.01981 40.06078, -75.02057 40.06125, -75.02062 40.06128, -75.02073 40.06135, -75.02105 40.06157, -75.02119 40.06169, -75.02131 40.06184, -75.0214 40.06199, -75.02147 40.06211, -75.02199 40.06311, -75.02184 40.06326)))"
42,101,034900,42101034900,349,Census Tract 349,G5020,S,1944025,8263,40.0450232,-75.0096675,"Census Tract 349, Philadelphia County, Pennsylvania",5629,2245,114,56073,1579,231,87,404,648,881,513,NA,430,378,5629,5629,2197,986,175,60,578,0,64,1584,2997,946,970,186,1677,241,110,358,1276,0.071771185,0.115118138,0.156510926,0.091135193,0.102895323,0.076390123,0.067152247,0.528447883,0.319526627,0.281399893,0.532421389,0.16805827,0.191752577,0.05077951,0.746993318,0.107349666,0.208463252,0.226683247,"MULTIPOLYGON (((-75.02212 40.03806, -75.02209 40.03845, -75.02196 40.03912, -75.02186 40.03952, -75.02171 40.03985, -75.02167 40.04003, -75.02156 40.04022, -75.02144 40.04055, -75.02128 40.04102, -75.02114 40.04136, -75.02096 40.04194, -75.02081 40.0423, -75.02072 40.0425, -75.02069 40.04267, -75.02064 40.04316, -75.02059 40.04337, -75.0205 40.04354, -75.02039 40.04353, -75.02028 40.04352, -75.01952 40.04362, -75.0189 40.04384, -75.0185 40.04408, -75.01844 40.04412, -75.01747 40.04485, -75.01742 40.04489, -75.01638 40.04567, -75.01571 40.04618, -75.01485 40.04684, -75.01402 40.04747, -75.01322 40.04812, -75.01227 40.04888, -75.01154 40.04949, -75.01015 40.05061, -75.00904 40.05147, -75.00844 40.05194, -75.00822 40.05211, -75.00796 40.05232, -75.00789 40.05238, -75.00616 40.05371, -75.0048 40.05475, -75.00416 40.05421, -75.00356 40.05367, -75.00295 40.05313, -75.00234 40.05259, -75.00174 40.05205, -75.00112 40.05151, -75.00051 40.05097, -74.99988 40.0504, -74.99979 40.05036, -74.99922 40.04986, -74.99862 40.04932, -74.99815 40.0489, -74.99809 40.04885, -74.99786 40.04865, -74.99763 40.04844, -74.99729 40.04815, -74.99714 40.04802, -74.9968 40.04768, -74.99665 40.04754, -74.99627 40.0472, -74.99631 40.04718, -74.99712 40.04669, -74.99873 40.04572, -74.99954 40.04523, -74.99981 40.04507, -75.00008 40.0449, -75.00035 40.04474, -75.00062 40.04458, -75.00297 40.04315, -75.00351 40.04282, -75.00519 40.04181, -75.00628 40.04116, -75.00654 40.041, -75.00681 40.04084, -75.00735 40.04051, -75.00789 40.04019, -75.00817 40.04003, -75.00844 40.03988, -75.00873 40.03973, -75.00901 40.03959, -75.00943 40.03937, -75.00959 40.0393, -75.00987 40.03915, -75.0101 40.03904, -75.01016 40.03901, -75.01045 40.03887, -75.01074 40.03873, -75.01104 40.0386, -75.01134 40.03848, -75.01165 40.03836, -75.01195 40.03824, -75.01254 40.03803, -75.01432 40.03945, -75.015 40.0391, -75.01535 40.03894, -75.01621 40.03991, -75.01703 40.0395, -75.01783 40.03908, -75.01843 40.03877, -75.01902 40.03847, -75.01967 40.03813, -75.02168 40.03709, -75.02181 40.03702, -75.02189 40.03722, -75.02204 40.03753, -75.0221 40.03776, -75.02212 40.03806)))"
